"idx","country"
0,"afg"
1,"ago"
2,"aia"
3,"alb"
4,"and"
5,"ant"
6,"are"
7,"arg"
8,"arm"
9,"asm"
10,"atf"
11,"atg"
12,"aus"
13,"aut"
14,"aze"
15,"bdi"
16,"bel"
17,"ben"
18,"bfa"
19,"bgd"
20,"bgr"
21,"bhr"
22,"bhs"
23,"bih"
24,"blr"
25,"blz"
26,"bmu"
27,"bol"
28,"bra"
29,"brb"
30,"brn"
31,"btn"
32,"bvt"
33,"bwa"
34,"caf"
35,"can"
36,"cck"
37,"che"
38,"chl"
39,"chn"
40,"civ"
41,"cmr"
42,"cod"
43,"cog"
44,"cok"
45,"col"
46,"com"
47,"cpv"
48,"cri"
49,"cub"
50,"cxr"
51,"cym"
52,"cyp"
53,"cze"
54,"deu"
55,"dji"
56,"dma"
57,"dnk"
58,"dom"
59,"dza"
60,"ecu"
61,"egy"
62,"eri"
63,"esh"
64,"esp"
65,"est"
66,"eth"
67,"fin"
68,"fji"
69,"flk"
70,"fra"
71,"fro"
72,"fsm"
73,"gab"
74,"gbr"
75,"geo"
76,"gha"
77,"gib"
78,"gin"
79,"gmb"
80,"gnb"
81,"gnq"
82,"grc"
83,"grd"
84,"grl"
85,"gtm"
86,"gum"
87,"guy"
88,"hkg"
89,"hmd"
90,"hnd"
91,"hrv"
92,"hti"
93,"hun"
94,"idn"
95,"ind"
96,"iot"
97,"irl"
98,"irn"
99,"irq"
100,"isl"
101,"isr"
102,"ita"
103,"jam"
104,"jor"
105,"jpn"
106,"kaz"
107,"ken"
108,"kgz"
109,"khm"
110,"kir"
111,"kna"
112,"kor"
113,"kwt"
114,"lao"
115,"lbn"
116,"lbr"
117,"lby"
118,"lca"
119,"lka"
120,"lso"
121,"ltu"
122,"lux"
123,"lva"
124,"mac"
125,"mar"
126,"mda"
127,"mdg"
128,"mdv"
129,"mex"
130,"mhl"
131,"mkd"
132,"mli"
133,"mlt"
134,"mmr"
135,"mng"
136,"mnp"
137,"moz"
138,"mrt"
139,"msr"
140,"mus"
141,"mwi"
142,"mys"
143,"myt"
144,"nam"
145,"ncl"
146,"ner"
147,"nfk"
148,"nga"
149,"nic"
150,"niu"
151,"nld"
152,"nor"
153,"npl"
154,"nru"
155,"nzl"
156,"omn"
157,"pak"
158,"pan"
159,"pcn"
160,"per"
161,"phl"
162,"plw"
163,"png"
164,"pol"
165,"prk"
166,"prt"
167,"pry"
168,"pse"
169,"pyf"
170,"qat"
171,"rom"
172,"rus"
173,"rwa"
174,"sau"
175,"scg"
176,"sdn"
177,"sen"
178,"sgp"
179,"sgs"
180,"shn"
181,"slb"
182,"sle"
183,"slv"
184,"smr"
185,"som"
186,"spm"
187,"stp"
188,"sur"
189,"svk"
190,"svn"
191,"swe"
192,"swz"
193,"syc"
194,"syr"
195,"tca"
196,"tcd"
197,"tgo"
198,"tha"
199,"tjk"
200,"tkl"
201,"tkm"
202,"ton"
203,"tto"
204,"tun"
205,"tur"
206,"tuv"
207,"tza"
208,"uga"
209,"ukr"
210,"umi"
211,"ury"
212,"usa"
213,"uzb"
214,"vat"
215,"vct"
216,"ven"
217,"vgb"
218,"vnm"
219,"vut"
220,"wlf"
221,"wsm"
222,"yem"
223,"zaf"
224,"zmb"
225,"zwe"
